Date,Team 1,FT,HT,Team 2
21/12/2024,Brentford,0-2,0-1,Nott'm Forest
21/12/2024,Ipswich,0-4,0-3,Newcastle
21/12/2024,West Ham,1-1,0-0,Brighton
21/12/2024,Crystal Palace,1-5,1-3,Arsenal
22/12/2024,Everton,0-0,0-0,Chelsea
22/12/2024,Fulham,0-0,0-0,Southampton
22/12/2024,Leicester,0-3,0-3,Wolves
22/12/2024,Man United,0-3,0-1,Bournemouth
22/12/2024,Tottenham,3-6,1-3,Liverpool
26/12/2024,Man City,1-1,1-1,Everton
26/12/2024,Bournemouth,0-0,0-0,Crystal Palace
26/12/2024,Chelsea,1-2,1-0,Fulham
26/12/2024,Newcastle,3-0,1-0,Aston Villa
26/12/2024,Nott'm Forest,1-0,1-0,Tottenham
26/12/2024,Southampton,0-1,0-0,West Ham
26/12/2024,Wolves,2-0,0-0,Man United
26/12/2024,Liverpool,3-1,1-1,Leicester
27/12/2024,Brighton,0-0,0-0,Brentford
27/12/2024,Arsenal,1-0,1-0,Ipswich
29/12/2024,Leicester,0-2,0-1,Man City
29/12/2024,Crystal Palace,2-1,1-1,Southampton
29/12/2024,Everton,0-2,0-1,Nott'm Forest
29/12/2024,Fulham,2-2,1-0,Bournemouth
29/12/2024,Tottenham,2-2,2-1,Wolves
29/12/2024,West Ham,0-5,0-3,Liverpool
30/12/2024,Aston Villa,2-2,1-1,Brighton
30/12/2024,Ipswich,2-0,1-0,Chelsea
30/12/2024,Man United,0-2,0-2,Newcastle
01/01/2025,Brentford,1-3,1-1,Arsenal
04/01/2025,Tottenham,1-2,1-2,Newcastle
04/01/2025,Aston Villa,2-1,0-0,Leicester
04/01/2025,Bournemouth,1-0,0-0,Everton
04/01/2025,Crystal Palace,1-1,0-1,Chelsea
04/01/2025,Man City,4-1,2-0,West Ham
04/01/2025,Southampton,0-5,0-1,Brentford
04/01/2025,Brighton,1-1,0-1,Arsenal
05/01/2025,Fulham,2-2,0-1,Ipswich
05/01/2025,Liverpool,2-2,0-0,Man United
06/01/2025,Wolves,0-3,0-2,Nott'm Forest
14/01/2025,Brentford,2-2,0-0,Man City
14/01/2025,Chelsea,2-2,1-0,Bournemouth
14/01/2025,West Ham,3-2,2-0,Fulham
14/01/2025,Nott'm Forest,1-1,1-0,Liverpool
15/01/2025,Everton,0-1,0-0,Aston Villa
15/01/2025,Leicester,0-2,0-0,Crystal Palace
15/01/2025,Newcastle,3-0,1-0,Wolves
15/01/2025,Arsenal,2-1,2-1,Tottenham
16/01/2025,Ipswich,0-2,0-0,Brighton
16/01/2025,Man United,3-1,0-1,Southampton
18/01/2025,Newcastle,1-4,1-2,Bournemouth
18/01/2025,Brentford,0-2,0-0,Liverpool
18/01/2025,Leicester,0-2,0-0,Fulham
